guid,act,tas,wa,vic,qld,nsw,sa,nt
https://id.biodiversity.org.au/node/apni/2899891,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2889757,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2912223,0,0,0,0,0,1,1,0
https://id.biodiversity.org.au/node/apni/2887972,1,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2905876,0,0,1,1,1,1,1,0
https://id.biodiversity.org.au/taxon/apni/51287986,0,0,1,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51266428,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/name/apni/51308088,0,0,1,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2903028,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2886371,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2892299,0,0,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2890185,0,1,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2891680,1,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2887986,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2887983,0,0,1,1,1,1,0,1
https://id.biodiversity.org.au/node/apni/2914435,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2904397,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/taxon/apni/51295164,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2904774,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2904372,0,0,1,1,0,0,1,0
